,sound,midpoint,word,phoneme,stress,duration,intensity,F0,F1,F2,F3,Vowel,Context,F1/S(F1),F2/S(F2),F1g/S(F1g),F2g/S(F2g)
1,ngf_00610_00004424916,0.685,at,a,NA,0.0899999999999999,53.01182548218710,216.46280450103400,775.4298983328450,1476.500168029830,1699.8021943505100,BAT,at,1.709,1.033,NA,NA
6,ngf_00610_00004424916,1.0750000000000000,concentrations,ɔ,0,0.03,65.23490246204180,222.12576811163500,677.9314223111320,1687.1428434556800,2626.277690644900,THOUGHT,concentrations,1.494,1.181,NA,NA
9,ngf_00610_00004424916,1.245,concentrations,ɛ,0,0.05,61.35709086695440,192.14120359671500,565.984519741809,1923.271412440190,2837.4931141623300,DRESS,concentrations,1.248,1.346,NA,NA
13,ngf_00610_00004424916,1.48,concentrations,e,1,0.06,62.40675888820630,189.10069248601100,397.0588485000170,2259.897690017780,2637.513978377070,FACE,concentrations,0.875,1.581,NA,NA
15,ngf_00610_00004424916,1.665,concentrations,ɔ,0,0.07,57.9874301684674,173.39743243621500,671.983343278973,1833.733956461380,2740.9573262822800,THOUGHT,concentrations,1.481,1.283,NA,NA
19,ngf_00610_00004424916,2.06,ozone,o,0,0.1,45.101917351024800,174.10462870097600,410.8423723938990,974.612822174368,3008.636333563380,HOAX,ozone,0.906,0.682,NA,NA
21,ngf_00610_00004424916,2.24,ozone,o,1,0.0399999999999995,66.80967283285470,261.0813295754290,487.3011193036110,1558.846186909550,3314.664506558320,HOAX,ozone,1.074,1.091,NA,NA
24,ngf_00610_00004424916,2.415,can,a,NA,0.0499999999999998,61.977552025083700,199.42273543370900,732.965395293654,1873.0137180996900,2593.9130320503800,BAT,can,1.616,1.311,NA,NA
27,ngf_00610_00004424916,2.545,be,iː,NA,0.0300000000000002,62.11942034586320,172.7305701690430,393.3422531700580,2360.2366954897500,2882.8467976695200,FLEECE,be,0.867,1.652,NA,NA
29,ngf_00610_00004424916,2.6950000000000000,toxic,ɔ,1,0.0500000000000002,59.59956921124590,189.22111854389800,582.7168703505630,1393.0305332432000,2448.767411753180,THOUGHT,toxic,1.285,0.975,NA,NA
32,ngf_00610_00004424916,2.865,toxic,i,0,0.0500000000000002,59.27718973913500,191.1784639012280,367.5872193901680,2286.98634927307,2870.579053693190,HAPPY,toxic,0.81,1.6,NA,NA
35,ngf_00610_00004424916,3.105,to,uː,NA,0.1300000000000000,51.501532396677200,459.5359993361880,461.9836652395290,2359.902550469080,2755.810395799030,STEW,to,1.018,1.651,NA,NA
36,ngf_00610_00004424916,3.21,air,ɛː,NA,0.08,62.81678516545670,185.19753240117700,595.3923972596840,1756.1123684508000,2142.116213501260,GLARE,air,1.312,1.229,NA,NA
38,ngf_00610_00004424916,3.38,borne,ɔ,1,0.04,60.542574350927300,175.14396292421400,474.3973604731060,852.167800755533,2823.646403990410,THOUGHT,borne,1.046,0.596,NA,NA
