	sound	midpoint	word	phoneme	duration	intensity	F0	F1	F2	F3
1	ngf_00610_00004424916	0.685	at	a	0.0899999999999999	53.01182548218705	216.46280450103401	775.4298983328448	1476.500168029825	1699.8021943505053
6	ngf_00610_00004424916	1.0750000000000002	concentrations	ɔ	0.03	65.23490246204177	222.12576811163459	677.9314223111321	1687.1428434556765	2626.277690644895
9	ngf_00610_00004424916	1.245	concentrations	ɛ	0.05	61.35709086695435	192.14120359671475	565.984519741809	1923.271412440192	2837.4931141623315
13	ngf_00610_00004424916	1.48	concentrations	e	0.06	62.40675888820628	189.10069248601076	397.0588485000168	2259.897690017781	2637.513978377074
15	ngf_00610_00004424916	1.665	concentrations	ɔ	0.07	57.9874301684674	173.39743243621535	671.983343278973	1833.733956461376	2740.9573262822755
19	ngf_00610_00004424916	2.06	ozone	o	0.1	45.101917351024845	174.10462870097638	410.8423723938992	974.612822174368	3008.636333563375
21	ngf_00610_00004424916	2.24	ozone	o	0.0399999999999995	66.80967283285473	261.0813295754285	487.3011193036112	1558.846186909551	3314.664506558324
24	ngf_00610_00004424916	2.415	can	a	0.0499999999999998	61.977552025083725	199.42273543370868	732.965395293654	1873.0137180996912	2593.9130320503773
27	ngf_00610_00004424916	2.545	be	iː	0.0300000000000002	62.11942034586317	172.7305701690434	393.3422531700583	2360.2366954897498	2882.8467976695224
29	ngf_00610_00004424916	2.6950000000000003	toxic	ɔ	0.0500000000000002	59.59956921124593	189.22111854389763	582.7168703505633	1393.0305332432044	2448.767411753181
32	ngf_00610_00004424916	2.865	toxic	i	0.0500000000000002	59.27718973913502	191.1784639012282	367.5872193901681	2286.98634927307	2870.579053693192
35	ngf_00610_00004424916	3.105	to	uː	0.1299999999999999	51.501532396677206	459.5359993361877	461.9836652395289	2359.902550469076	2755.810395799032
36	ngf_00610_00004424916	3.21	air	ɛː	0.08	62.81678516545672	185.19753240117717	595.3923972596839	1756.1123684507954	2142.116213501259
38	ngf_00610_00004424916	3.38	borne	ɔ	0.04	60.542574350927296	175.14396292421378	474.3973604731056	852.167800755533	2823.646403990408
41	ngf_00610_00004424916	3.545	bacteria	a	0.0700000000000002	57.62280246731162	145.9962444627691	764.2478736370545	1436.2697407374012	2128.7786489514565
44	ngf_00610_00004424916	3.785	bacteria	i	0.0899999999999998	57.64076114209512	156.1320659509676	457.84719034999614	2643.011429451008	2794.621458000433
46	ngf_00610_00004424916	3.885	bacteria	i	0.0299999999999998	54.55461122085037	151.9115715917659	576.9816161153655	1874.0083788810728	2261.052261943817
47	ngf_00610_00004424916	3.965	bacteria	a	0.1300000000000003	46.24193379615465	152.77840621897158	724.7137071537535	1917.7263594943297	2439.9847583277888
50	ngf_00610_00004424916	4.375	and	a	0.0500000000000007	61.60425205293133	184.2200673315884	738.497103340907	1140.6814894754093	1861.443078220919
53	ngf_00610_00004424916	4.54	may	e	0.0600000000000005	64.70544103489762	194.57235663962615	564.4967108090776	2312.0938768474457	2953.489681278037
55	ngf_00610_00004424916	4.645	destroy	i	0.0499999999999998	62.69999413770819	196.51328446145666	375.7522934413786	2003.025192810764	2918.509475230869
61	ngf_00610_00004424916	5.05	or	ɔ	0.0600000000000005	61.73437529243802	181.61211584405837	537.2651446423555	1423.930485502917	2750.595195145475
63	ngf_00610_00004424916	5.26	kill	i	0.0599999999999996	62.038984754841294	204.5644447449707	396.7782141173099	2049.2406824088216	2812.8279161244395
66	ngf_00610_00004424916	5.58	these	iː	0.1600000000000001	61.0747115241764	187.27957690651343	361.2441857806379	2672.1542489933986	3067.824491148534
69	ngf_00610_00004424916	5.845000000000001	sometimes	ɔ	0.0499999999999998	60.6055607896013	176.07360814336795	669.5324166361842	1476.4307303591768	2518.141712094295
75	ngf_00610_00004424916	6.215	infectious	i	0.0300000000000002	57.97850977496976	164.00571443908234	430.2598194925837	2020.054453134916	2936.081765172447
78	ngf_00610_00004424916	6.369999999999999	infectious	ɛ	0.04	58.63047841392256	172.48058662981475	514.1777370880263	1818.01096891439	2201.935112085163
